fold1,fold2,fold3,fold4,fold5,lr,batch_size,epochs,weight_decay,unfreeze
0.5776,0.5147,0.5419,0.5882,0.5466,2e-5,16,5,0.0,3
0.5466,0.5342,0.5407,0.5705,0.5686,2e-5,16,5,0.0,4
0.5374,0.5395,0.5563,0.5732,0.5324,2e-5,16,5,0.0,5
0.5243,0.5098,0.5342,0.549,0.5608,3e-5,16,5,0.0,3
0.5298,0.5567,0.5031,0.5552,0.5374,3e-5,16,5,0.0,4
0.5188,0.5517,0.5143,0.5342,0.5109,3e-5,16,5,0.0,5
0.5161,0.5734,0.5035,0.548,0.5245,5e-5,16,5,0.0,3
0.5201,0.5175,0.5474,0.5328,0.5017,5e-5,16,5,0.0,4
0.5128,0.5368,0.5357,0.5263,0.509,5e-5,16,5,0.0,5
0.5607,0.5376,0.5546,0.5913,0.5749,2e-5,32,5,0.0,3
0.5325,0.5138,0.5472,0.5808,0.5484,2e-5,32,5,0.0,4
0.5413,0.5541,0.5611,0.5643,0.5278,2e-5,32,5,0.0,5
0.567,0.5317,0.5346,0.5868,0.5669,3e-5,32,5,0.0,3
0.5424,0.5159,0.5658,0.5581,0.5455,3e-5,32,5,0.0,4
0.5366,0.5351,0.5619,0.5302,0.5119,3e-5,32,5,0.0,5
0.5226,0.5325,0.5409,0.5461,0.523,5e-5,32,5,0.0,3
0.5245,0.5034,0.5366,0.5817,0.5185,5e-5,32,5,0.0,4
0.5614,0.5474,0.4889,0.5448,0.5177,5e-5,32,5,0.0,5
